title,genre,2021,2022,2023,2024,2025,2026,image
Machos alfa,Comedy,0,0,0,2.8,16.6,3.4,https://image.tmdb.org/t/p/w200/2TsfGgXutoakJjU1XgheX0M6iBP.jpg
Manual para señoritas,Drama,0,0,0,0,3.4,0,https://image.tmdb.org/t/p/w200/sEZfgxon0WUDRzREYM3zXGGUxfC.jpg
Mi vida con los chicos Walter,Drama,0,0,3.5,0,0,0,https://image.tmdb.org/t/p/w200/7KIqZD15GO6T2vxUigDI8BMoo4s.jpg
Millennials,Drama,2.4,0,0,0,0,0,https://image.tmdb.org/t/p/w200/qoncodkV2RFmeFxdDF63PiVgYKj.jpg
Muertos S.L.,Comedy,0,0,0,0,0.5,0,https://image.tmdb.org/t/p/w200/g6vptk7afH3OHOKSjdjJJtEoOMh.jpg
Muñeca rusa,Drama,0,0.9,0,0,0,0,https://image.tmdb.org/t/p/w200/8pP4iRDX2SJf9WcpvBWLQ438CDx.jpg
Nadie quiere esto,Comedy,0,0,0,2.9,0.2,0,https://image.tmdb.org/t/p/w200/kiMhxXmkmqtpeY9jB8il3KajrDu.jpg
Ni una más,Drama,0,0,0,5.7,0,0,https://image.tmdb.org/t/p/w200/poeF8MRkSJQSoJ5uMVBkKEXADxF.jpg
Obsesión,Drama,0,0,0.8,0,0,0,https://image.tmdb.org/t/p/w200/mra3tUkixvDE0lxQw1ZjuSkCa1U.jpg
Odio la Navidad,Comedy,0,3,1,0,0,0,https://image.tmdb.org/t/p/w200/l6KHIibBiUkPRbMdbyNjWuzZv2T.jpg
Olympo,Drama,0,0,0,0,2.9,0,https://image.tmdb.org/t/p/w200/6BgcsLnjFiizUFSZchctgeZJRzY.jpg
On My Block,Comedy,3.7,0,0,0,0,0,https://image.tmdb.org/t/p/w200/w6oviv65UEducvjAdH3sYYaxdu2.jpg
Outlander,Drama,0,0,0,1,0,0,https://image.tmdb.org/t/p/w200/wwxKbrMlwMrC06B7aCIkDy3SAo6.jpg
Plan corazón,Comedy,0,0.9,0,0,0,0,https://image.tmdb.org/t/p/w200/nN4iv96Xd3BdcisftK3Eh7eaAmC.jpg
Pose,Thriller,0,11.9,0,0,0,0,https://image.tmdb.org/t/p/w200/5f23i30nFJz0nrd3DGheOCqXa2P.jpg
Pulso,Drama,0,0,0,0,7.3,0,https://image.tmdb.org/t/p/w200/eTGKdfL0imf5jNO7MIWCLhaRK5w.jpg
Rebelde,Drama,0,4.9,0,0,0,0,https://image.tmdb.org/t/p/w200/bGLhOJH5U10ExR6MWRpq0kyC3yM.jpg
Recursos Humanos,Comedy,0,1.9,0,0,0,0,https://image.tmdb.org/t/p/w200/8tiIDlIMVuZO7pbBb1Sr6pzyns7.jpg
Respira,Drama,0,0,0,0,12.4,0,https://image.tmdb.org/t/p/w200/7kCGAnGKJyPlyc4rSn6FSTo59zh.jpg
Sean eternos,Documentary,0,2,0,0,0,0,https://image.tmdb.org/t/p/w200/kBlqr507IV9bDKHLEFBtEtTfCw3.jpg
Selena,Drama,1.2,0,0,0,0,0,https://image.tmdb.org/t/p/w200/tN3LgXBh4JJ18lpXAkz44XeiVVX.jpg
Sex Education,Comedy,7.2,0,7.7,0,0,0,https://image.tmdb.org/t/p/w200/oOEOg8rawAtc1nRbgGkf5fYcMB4.jpg
